               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050038,            0.036832,            0.021205,             0.56127,             0.31409,             0.36735,             0.15975,             0.03352,            0.015509,            0.016963,            0.006535,            0.006535,            0.006535
                  37,            0.047957,             0.03409,             0.02145,             0.63533,             0.41362,              0.3814,             0.19726,            0.030913,            0.015801,            0.017119,            0.006436,            0.006436,            0.006436
                  38,            0.050244,            0.031496,            0.021629,             0.34346,             0.31518,             0.21259,             0.11189,            0.033056,            0.016595,            0.015803,            0.006337,            0.006337,            0.006337
                  39,            0.055956,            0.034983,            0.018686,             0.52814,             0.33333,             0.39873,             0.17561,            0.029152,            0.016364,            0.015413,            0.006238,            0.006238,            0.006238
                  40,              0.0447,            0.031546,            0.019032,             0.52814,             0.33333,             0.39873,             0.17561,            0.029152,            0.016364,            0.015413,            0.006139,            0.006139,            0.006139
                  41,            0.035056,            0.030368,            0.017718,             0.42373,             0.33333,             0.31825,             0.12117,              0.0288,            0.016221,            0.015091,             0.00604,             0.00604,             0.00604
                  42,            0.045408,            0.031149,            0.023381,             0.36665,             0.41667,             0.29684,             0.10129,            0.033554,            0.015346,            0.015207,            0.005941,            0.005941,            0.005941
                  43,            0.047727,            0.033374,            0.020232,             0.18357,                0.75,              0.3214,             0.12382,            0.030358,            0.015095,            0.015657,            0.005842,            0.005842,            0.005842
                  44,            0.044941,            0.036138,            0.020332,             0.18357,                0.75,              0.3214,             0.12382,            0.030358,            0.015095,            0.015657,            0.005743,            0.005743,            0.005743
                  45,            0.046041,            0.035838,            0.020185,             0.23175,              0.6632,             0.36816,             0.16879,            0.029514,            0.014763,            0.015741,            0.005644,            0.005644,            0.005644
                  46,            0.042746,            0.032141,            0.017494,             0.33822,             0.63442,             0.43048,             0.17754,            0.028164,            0.014446,            0.015393,            0.005545,            0.005545,            0.005545
                  47,            0.038748,            0.029264,            0.019999,             0.41399,                 0.5,             0.48102,             0.18873,            0.027629,            0.014479,            0.016391,            0.005446,            0.005446,            0.005446
                  48,            0.051874,            0.033408,            0.021543,             0.41399,                 0.5,             0.48102,             0.18873,            0.027629,            0.014479,            0.016391,            0.005347,            0.005347,            0.005347
                  49,            0.044612,            0.031951,             0.01917,             0.38444,             0.64424,             0.46525,             0.21966,            0.026272,            0.014655,            0.016607,            0.005248,            0.005248,            0.005248
                  50,            0.045537,            0.032201,            0.019148,             0.37569,             0.66667,             0.52135,             0.16744,            0.029423,             0.01535,             0.01749,            0.005149,            0.005149,            0.005149
                  51,            0.041931,            0.027624,            0.017375,              0.2697,             0.58333,             0.49047,             0.23576,            0.025758,             0.01557,            0.017788,             0.00505,             0.00505,             0.00505
                  52,            0.042415,            0.032388,            0.017546,              0.2697,             0.58333,             0.49047,             0.23576,            0.025758,             0.01557,            0.017788,            0.004951,            0.004951,            0.004951
                  53,             0.04417,            0.030522,            0.017686,             0.30997,             0.58333,             0.50734,             0.20511,             0.02929,            0.015526,            0.017673,            0.004852,            0.004852,            0.004852
                  54,            0.037705,            0.026276,            0.014535,             0.30275,                0.75,             0.45901,             0.16726,              0.0302,            0.014535,            0.017192,            0.004753,            0.004753,            0.004753
